vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
-86.4499,25.0316,24.0262,129,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
37.4889,-29.2615,10.7791,58886,-75,-75,36,-75,-25,32,-75,25,18,-75,75,23,-25,-75,46,-25,-25,36,-25,25,25,-25,75,23,25,-75,37,25,-25,100,25,25,43,25,75,27,75,-75,43,75,-25,60,75,25,39,75,75,25
15.8633,-24.6255,-7.41451,10097,-75,-75,7,-75,-25,6,-75,25,3,-75,75,2,-25,-75,8,-25,-25,9,-25,25,5,-25,75,7,25,-75,4,25,-25,17,25,25,6,25,75,4,75,-75,5,75,-25,6,75,25,7,75,75,7
68.2822,36.1623,-14.4475,280592,-75,-75,72,-75,-25,79,-75,25,114,-75,75,114,-25,-75,102,-25,-25,113,-25,25,136,-25,75,131,25,-75,124,25,-25,154,25,25,240,25,75,195,75,-75,138,75,-25,216,75,25,483,75,75,313
-42.0954,53.7532,7.39695,50013,-75,-75,30,-75,-25,27,-75,25,33,-75,75,45,-25,-75,10,-25,-25,15,-25,25,33,-25,75,58,25,-75,18,25,-25,21,25,25,32,25,75,23,75,-75,23,75,-25,10,75,25,24,75,75,25
-15.033,-61.0718,-4.9371,174816,-75,-75,134,-75,-25,103,-75,25,77,-75,75,68,-25,-75,197,-25,-25,136,-25,25,80,-25,75,71,25,-75,168,25,-25,136,25,25,79,25,75,54,75,-75,112,75,-25,88,75,25,67,75,75,60
38.8184,-39.547,16.7776,111398,-75,-75,53,-75,-25,48,-75,25,42,-75,75,33,-25,-75,61,-25,-25,63,-25,25,46,-25,75,38,25,-75,99,25,-25,92,25,25,47,25,75,45,75,-75,99,75,-25,85,75,25,63,75,75,52
28.4542,-4.89833,-8.52765,215064,-75,-75,91,-75,-25,104,-75,25,92,-75,75,94,-25,-75,119,-25,-25,162,-25,25,105,-25,75,101,25,-75,146,25,-25,176,25,25,150,25,75,140,75,-75,135,75,-25,160,75,25,167,75,75,126
63.7961,-1.91556,-18.8991,297,-75,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.22478,-86.2643,-12.0843,102,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
